43#Bjelovar
40#Cakovec
20#Dubrovnik
53#Gospic
47#Karlovac
48#Koprivnica
49#Krapina
31#Osijek
52#Pazin
34#Požega
51#Rijeka
44#Sisak
35#Slavonski Brod
21#Split
22#Šibenik
42#Varaždin
33#Virovitica
32#Vukovar
23#Zadar
10#Zagreb
